"TaxaID"	"Prevalence"	"TotalCounts"	"Percentage"
"1"	"denovo648885"	5	41202	25.7839634035683
"2"	"denovo148831"	7	31863	19.9396734607033
"3"	"denovo645866"	4	13816	8.64596957389688
"4"	"denovo182654"	7	10537	6.59399112624142
"5"	"denovo661587"	4	8642	5.4081115415183
"6"	"denovo509262"	4	5008	3.13397623234479
"7"	"denovo147750"	7	4984	3.11895717691822
"8"	"denovo154350"	7	4954	3.100183357635
"9"	"denovo297938"	7	3028	1.89490415965256
"10"	"denovo266441"	5	2738	1.71342390658148
"11"	"denovo552699"	4	2733	1.71029493670094
"12"	"denovo678201"	6	2617	1.63770283547251
"13"	"denovo292099"	3	1992	1.24658160040551
"14"	"denovo664717"	7	1674	1.04757911600343
"15"	"denovo219812"	4	1673	1.04695332202732
"16"	"denovo76006"	7	1621	1.01441203526975
"17"	"denovo505228"	3	1373	0.859215129195166
"18"	"denovo14483"	3	1051	0.657709468888652
"19"	"denovo557211"	3	859	0.537557025476073
"20"	"denovo244199"	5	772	0.483112949554748
"21"	"denovo437463"	3	525	0.328541837456273
"22"	"denovo696196"	4	509	0.318529133838558
"23"	"denovo542229"	5	485	0.303510078411985
"24"	"denovo529606"	3	480	0.300381108531449
"25"	"denovo59295"	3	338	0.211518363924229
"26"	"denovo26889"	3	333	0.208389394043693
"27"	"denovo199532"	3	328	0.205260424163157
"28"	"denovo207861"	2	328	0.205260424163157
"29"	"denovo10411"	3	288	0.18022866511887
"30"	"denovo205719"	3	270	0.16896437354894
"31"	"denovo513892"	3	262	0.163958021740083
"32"	"denovo603789"	5	249	0.155822700050689
"33"	"denovo142575"	4	227	0.142055232576331
"34"	"denovo223817"	4	223	0.139552056671902
"35"	"denovo33552"	3	223	0.139552056671902
"36"	"denovo501277"	3	206	0.12891355907808
"37"	"denovo444483"	3	202	0.126410383173652
"38"	"denovo322075"	3	187	0.117023473532044
"39"	"denovo115935"	3	179	0.112017121723186
"40"	"denovo404814"	3	170	0.106384975938222
"41"	"denovo664865"	3	167	0.1045075940099
"42"	"denovo322219"	3	165	0.103256006057686
"43"	"denovo106813"	4	164	0.102630212081579
"44"	"denovo612787"	2	158	0.0988754482249354
"45"	"denovo582750"	3	156	0.097623860272721
"46"	"denovo136461"	3	149	0.0932433024399707
"47"	"denovo369074"	4	131	0.0819790108700414
"48"	"denovo183868"	4	130	0.0813532168939342
"49"	"denovo608847"	3	127	0.0794758349656126
"50"	"denovo72503"	3	123	0.0769726590611839
"51"	"denovo682115"	5	119	0.0744694831567551
"52"	"denovo254073"	2	116	0.0725921012284336
"53"	"denovo252463"	3	112	0.0700889253240048
"54"	"denovo444781"	1	112	0.0700889253240048
"55"	"denovo527698"	3	111	0.0694631313478976
"56"	"denovo556543"	3	108	0.0675857494195761
"57"	"denovo61065"	2	108	0.0675857494195761
"58"	"denovo239885"	4	106	0.0663341614673617
"59"	"denovo459408"	3	106	0.0663341614673617
"60"	"denovo178344"	4	98	0.0613278096585042
"61"	"denovo522958"	3	98	0.0613278096585042
"62"	"denovo494510"	2	97	0.060702015682397
"63"	"denovo315417"	2	95	0.0594504277301827
"64"	"denovo99903"	3	95	0.0594504277301827
"65"	"denovo280620"	3	94	0.0588246337540755
"66"	"denovo516112"	4	91	0.0569472518257539
"67"	"denovo505958"	4	90	0.0563214578496467
"68"	"denovo573188"	4	90	0.0563214578496467
"69"	"denovo276231"	4	85	0.0531924879691108
"70"	"denovo319941"	3	83	0.0519409000168964
"71"	"denovo72400"	3	81	0.0506893120646821
"72"	"denovo267459"	4	80	0.0500635180885749
"73"	"denovo438030"	2	79	0.0494377241124677
"74"	"denovo5568"	2	79	0.0494377241124677
"75"	"denovo636885"	3	79	0.0494377241124677
"76"	"denovo444872"	4	78	0.0488119301363605
"77"	"denovo710804"	3	78	0.0488119301363605
"78"	"denovo642526"	3	76	0.0475603421841461
"79"	"denovo50838"	1	75	0.0469345482080389
"80"	"denovo335777"	2	73	0.0456829602558246
"81"	"denovo418421"	3	72	0.0450571662797174
"82"	"denovo245485"	4	71	0.0444313723036102
"83"	"denovo322720"	2	70	0.043805578327503
"84"	"denovo429767"	5	69	0.0431797843513958
"85"	"denovo61749"	2	61	0.0381734325425383
"86"	"denovo638195"	2	60	0.0375476385664312
"87"	"denovo109703"	4	58	0.0362960506142168
"88"	"denovo431383"	2	58	0.0362960506142168
"89"	"denovo641186"	3	58	0.0362960506142168
"90"	"denovo307421"	2	53	0.0331670807336809
"91"	"denovo141507"	2	52	0.0325412867575737
"92"	"denovo49113"	2	51	0.0319154927814665
"93"	"denovo494739"	2	51	0.0319154927814665
"94"	"denovo686851"	2	49	0.0306639048292521
"95"	"denovo502636"	3	48	0.0300381108531449
"96"	"denovo130460"	4	47	0.0294123168770377
"97"	"denovo715977"	4	47	0.0294123168770377
"98"	"denovo91758"	2	47	0.0294123168770377
"99"	"denovo138040"	1	45	0.0281607289248234
"100"	"denovo379464"	3	45	0.0281607289248234
"101"	"denovo447949"	2	45	0.0281607289248234
"102"	"denovo624097"	3	45	0.0281607289248234
"103"	"denovo604343"	3	44	0.0275349349487162
"104"	"denovo299005"	3	43	0.026909140972609
"105"	"denovo475051"	2	42	0.0262833469965018
"106"	"denovo239154"	4	41	0.0256575530203946
"107"	"denovo295731"	2	41	0.0256575530203946
"108"	"denovo322636"	2	41	0.0256575530203946
"109"	"denovo437253"	2	41	0.0256575530203946
"110"	"denovo444"	2	41	0.0256575530203946
"111"	"denovo336220"	3	40	0.0250317590442874
"112"	"denovo673643"	3	39	0.0244059650681803
"113"	"denovo332063"	2	37	0.0231543771159659
"114"	"denovo363356"	3	37	0.0231543771159659
"115"	"denovo562644"	2	37	0.0231543771159659
"116"	"denovo280714"	3	36	0.0225285831398587
"117"	"denovo34198"	2	36	0.0225285831398587
"118"	"denovo506708"	1	36	0.0225285831398587
"119"	"denovo561349"	3	36	0.0225285831398587
"120"	"denovo107352"	3	35	0.0219027891637515
"121"	"denovo509988"	3	35	0.0219027891637515
"122"	"denovo699963"	3	35	0.0219027891637515
"123"	"denovo310444"	3	34	0.0212769951876443
"124"	"denovo6257"	2	34	0.0212769951876443
"125"	"denovo696109"	3	34	0.0212769951876443
"126"	"denovo90459"	3	34	0.0212769951876443
"127"	"denovo67268"	3	33	0.0206512012115371
"128"	"denovo468354"	4	32	0.02002540723543
"129"	"denovo502401"	3	32	0.02002540723543
"130"	"denovo610885"	2	32	0.02002540723543
"131"	"denovo617077"	3	32	0.02002540723543
"132"	"denovo76210"	2	32	0.02002540723543
"133"	"denovo422397"	1	31	0.0193996132593228
"134"	"denovo620603"	2	31	0.0193996132593228
"135"	"denovo434803"	1	30	0.0187738192832156
"136"	"denovo67002"	3	30	0.0187738192832156
"137"	"denovo182966"	1	29	0.0181480253071084
"138"	"denovo527322"	2	29	0.0181480253071084
"139"	"denovo679500"	3	29	0.0181480253071084
"140"	"denovo106976"	3	28	0.0175222313310012
"141"	"denovo77292"	2	28	0.0175222313310012
"142"	"denovo312056"	2	27	0.016896437354894
"143"	"denovo582807"	1	27	0.016896437354894
"144"	"denovo315129"	1	26	0.0162706433787868
"145"	"denovo49212"	2	26	0.0162706433787868
"146"	"denovo541197"	3	26	0.0162706433787868
"147"	"denovo491349"	2	25	0.0156448494026796
"148"	"denovo537188"	3	25	0.0156448494026796
"149"	"denovo585463"	2	25	0.0156448494026796
"150"	"denovo615706"	5	25	0.0156448494026796
"151"	"denovo83101"	1	25	0.0156448494026796
"152"	"denovo193971"	2	23	0.0143932614504653
"153"	"denovo206192"	1	23	0.0143932614504653
"154"	"denovo263538"	3	23	0.0143932614504653
"155"	"denovo358083"	3	23	0.0143932614504653
"156"	"denovo439901"	2	23	0.0143932614504653
"157"	"denovo590676"	2	23	0.0143932614504653
"158"	"denovo645518"	2	23	0.0143932614504653
"159"	"denovo97227"	1	23	0.0143932614504653
"160"	"denovo183196"	4	22	0.0137674674743581
"161"	"denovo30829"	2	22	0.0137674674743581
"162"	"denovo362354"	1	22	0.0137674674743581
"163"	"denovo601725"	2	22	0.0137674674743581
"164"	"denovo183851"	2	21	0.0131416734982509
"165"	"denovo371452"	3	21	0.0131416734982509
"166"	"denovo611842"	4	21	0.0131416734982509
"167"	"denovo693361"	2	21	0.0131416734982509
"168"	"denovo141006"	2	20	0.0125158795221437
"169"	"denovo518281"	3	20	0.0125158795221437
"170"	"denovo427056"	3	19	0.0118900855460365
"171"	"denovo525160"	2	19	0.0118900855460365
"172"	"denovo684204"	1	19	0.0118900855460365
"173"	"denovo6863"	2	19	0.0118900855460365
"174"	"denovo82119"	4	19	0.0118900855460365
"175"	"denovo464193"	2	18	0.0112642915699293
"176"	"denovo478885"	1	18	0.0112642915699293
"177"	"denovo569426"	3	18	0.0112642915699293
"178"	"denovo654831"	2	18	0.0112642915699293
"179"	"denovo136949"	2	17	0.0106384975938222
"180"	"denovo140782"	2	17	0.0106384975938222
"181"	"denovo150785"	3	17	0.0106384975938222
"182"	"denovo252635"	3	17	0.0106384975938222
"183"	"denovo259192"	1	17	0.0106384975938222
"184"	"denovo290848"	2	17	0.0106384975938222
"185"	"denovo330309"	1	17	0.0106384975938222
"186"	"denovo478249"	3	17	0.0106384975938222
"187"	"denovo512544"	2	17	0.0106384975938222
"188"	"denovo559741"	1	17	0.0106384975938222
"189"	"denovo563265"	1	17	0.0106384975938222
"190"	"denovo587245"	2	17	0.0106384975938222
"191"	"denovo283994"	3	16	0.010012703617715
"192"	"denovo302491"	1	16	0.010012703617715
"193"	"denovo334420"	2	16	0.010012703617715
"194"	"denovo340642"	3	16	0.010012703617715
"195"	"denovo404505"	1	16	0.010012703617715
"196"	"denovo554204"	2	16	0.010012703617715
"197"	"denovo590454"	4	16	0.010012703617715
"198"	"denovo673601"	2	16	0.010012703617715
"199"	"denovo172698"	3	15	0.00938690964160779
"200"	"denovo230443"	3	15	0.00938690964160779
"201"	"denovo255561"	1	15	0.00938690964160779
"202"	"denovo394397"	3	15	0.00938690964160779
"203"	"denovo516903"	2	15	0.00938690964160779
"204"	"denovo54753"	2	15	0.00938690964160779
"205"	"denovo622890"	2	15	0.00938690964160779
"206"	"denovo633547"	3	15	0.00938690964160779
"207"	"denovo644853"	2	15	0.00938690964160779
"208"	"denovo668332"	2	15	0.00938690964160779
"209"	"denovo418640"	2	14	0.0087611156655006
"210"	"denovo560653"	2	14	0.0087611156655006
"211"	"denovo624618"	3	14	0.0087611156655006
"212"	"denovo63045"	3	14	0.0087611156655006
"213"	"denovo134708"	2	13	0.00813532168939342
"214"	"denovo291670"	1	13	0.00813532168939342
"215"	"denovo39667"	1	13	0.00813532168939342
"216"	"denovo433407"	1	13	0.00813532168939342
"217"	"denovo529384"	2	13	0.00813532168939342
"218"	"denovo559904"	1	13	0.00813532168939342
"219"	"denovo625978"	2	13	0.00813532168939342
"220"	"denovo98673"	2	13	0.00813532168939342
"221"	"denovo151597"	2	12	0.00750952771328623
"222"	"denovo188510"	4	12	0.00750952771328623
"223"	"denovo283103"	1	12	0.00750952771328623
"224"	"denovo291742"	2	12	0.00750952771328623
"225"	"denovo311823"	1	12	0.00750952771328623
"226"	"denovo410283"	5	12	0.00750952771328623
"227"	"denovo567799"	1	12	0.00750952771328623
"228"	"denovo573076"	2	12	0.00750952771328623
"229"	"denovo582343"	1	12	0.00750952771328623
"230"	"denovo648409"	3	12	0.00750952771328623
"231"	"denovo662582"	1	12	0.00750952771328623
"232"	"denovo140042"	2	11	0.00688373373717905
"233"	"denovo142941"	1	11	0.00688373373717905
"234"	"denovo162490"	2	11	0.00688373373717905
"235"	"denovo294168"	1	11	0.00688373373717905
"236"	"denovo384874"	2	11	0.00688373373717905
"237"	"denovo451578"	3	11	0.00688373373717905
"238"	"denovo472893"	1	11	0.00688373373717905
"239"	"denovo53067"	2	11	0.00688373373717905
"240"	"denovo544509"	1	11	0.00688373373717905
"241"	"denovo552307"	2	11	0.00688373373717905
"242"	"denovo87159"	1	11	0.00688373373717905
"243"	"denovo117371"	1	10	0.00625793976107186
"244"	"denovo134404"	2	10	0.00625793976107186
"245"	"denovo194774"	4	10	0.00625793976107186
"246"	"denovo204005"	1	10	0.00625793976107186
"247"	"denovo204880"	1	10	0.00625793976107186
"248"	"denovo220767"	1	10	0.00625793976107186
"249"	"denovo268481"	1	10	0.00625793976107186
"250"	"denovo29212"	2	10	0.00625793976107186
"251"	"denovo311410"	2	10	0.00625793976107186
"252"	"denovo330020"	2	10	0.00625793976107186
"253"	"denovo36641"	1	10	0.00625793976107186
"254"	"denovo388646"	2	10	0.00625793976107186
"255"	"denovo390374"	2	10	0.00625793976107186
"256"	"denovo400755"	2	10	0.00625793976107186
"257"	"denovo417743"	2	10	0.00625793976107186
"258"	"denovo418831"	1	10	0.00625793976107186
"259"	"denovo4724"	1	10	0.00625793976107186
"260"	"denovo485436"	2	10	0.00625793976107186
"261"	"denovo507907"	2	10	0.00625793976107186
"262"	"denovo513667"	2	10	0.00625793976107186
"263"	"denovo544673"	1	10	0.00625793976107186
"264"	"denovo548320"	3	10	0.00625793976107186
"265"	"denovo560714"	3	10	0.00625793976107186
"266"	"denovo58203"	2	10	0.00625793976107186
"267"	"denovo118107"	3	9	0.00563214578496467
"268"	"denovo131775"	1	9	0.00563214578496467
"269"	"denovo141552"	1	9	0.00563214578496467
"270"	"denovo146275"	3	9	0.00563214578496467
"271"	"denovo149405"	1	9	0.00563214578496467
"272"	"denovo169244"	2	9	0.00563214578496467
"273"	"denovo199238"	2	9	0.00563214578496467
"274"	"denovo212338"	1	9	0.00563214578496467
"275"	"denovo216360"	2	9	0.00563214578496467
"276"	"denovo28591"	1	9	0.00563214578496467
"277"	"denovo329102"	1	9	0.00563214578496467
"278"	"denovo387329"	1	9	0.00563214578496467
"279"	"denovo415892"	2	9	0.00563214578496467
"280"	"denovo441657"	1	9	0.00563214578496467
"281"	"denovo442560"	2	9	0.00563214578496467
"282"	"denovo450880"	2	9	0.00563214578496467
"283"	"denovo549599"	1	9	0.00563214578496467
"284"	"denovo562574"	1	9	0.00563214578496467
"285"	"denovo646478"	1	9	0.00563214578496467
"286"	"denovo661772"	1	9	0.00563214578496467
"287"	"denovo706354"	1	9	0.00563214578496467
"288"	"denovo75560"	1	9	0.00563214578496467
"289"	"denovo112966"	3	8	0.00500635180885749
"290"	"denovo130275"	1	8	0.00500635180885749
"291"	"denovo169249"	2	8	0.00500635180885749
"292"	"denovo255178"	1	8	0.00500635180885749
"293"	"denovo283471"	1	8	0.00500635180885749
"294"	"denovo391548"	1	8	0.00500635180885749
"295"	"denovo396542"	3	8	0.00500635180885749
"296"	"denovo397686"	1	8	0.00500635180885749
"297"	"denovo424605"	1	8	0.00500635180885749
"298"	"denovo430950"	2	8	0.00500635180885749
"299"	"denovo437805"	3	8	0.00500635180885749
"300"	"denovo45565"	2	8	0.00500635180885749
"301"	"denovo512146"	2	8	0.00500635180885749
"302"	"denovo540498"	1	8	0.00500635180885749
"303"	"denovo550748"	2	8	0.00500635180885749
"304"	"denovo578809"	2	8	0.00500635180885749
"305"	"denovo606454"	1	8	0.00500635180885749
"306"	"denovo607905"	2	8	0.00500635180885749
"307"	"denovo620669"	2	8	0.00500635180885749
"308"	"denovo653659"	2	8	0.00500635180885749
"309"	"denovo6632"	1	8	0.00500635180885749
"310"	"denovo664421"	2	8	0.00500635180885749
"311"	"denovo676681"	1	8	0.00500635180885749
"312"	"denovo709263"	3	8	0.00500635180885749
"313"	"denovo718081"	1	8	0.00500635180885749
"314"	"denovo83906"	1	8	0.00500635180885749
"315"	"denovo95020"	1	8	0.00500635180885749
"316"	"denovo107087"	1	7	0.0043805578327503
"317"	"denovo107744"	1	7	0.0043805578327503
"318"	"denovo120774"	2	7	0.0043805578327503
"319"	"denovo150783"	1	7	0.0043805578327503
