"TaxaID"	"Prevalence"	"TotalCounts"	"Percentage"
"1"	"denovo645866"	2	12479	35.2643626190409
"2"	"denovo678201"	4	7298	20.6233927713567
"3"	"denovo664717"	4	7256	20.5047051176986
"4"	"denovo154350"	3	2423	6.84714725746743
"5"	"denovo266441"	3	2201	6.21979823098878
"6"	"denovo509262"	4	744	2.10246700765818
"7"	"denovo148831"	4	698	1.97247576793738
"8"	"denovo244199"	4	361	1.02014864215672
"9"	"denovo604343"	1	236	0.666911577698025
"10"	"denovo664865"	3	176	0.497357786757849
"11"	"denovo641186"	1	166	0.469098821601153
"12"	"denovo147750"	4	134	0.378670133099726
"13"	"denovo505958"	4	117	0.330629892333343
"14"	"denovo573188"	1	80	0.226071721253568
"15"	"denovo417206"	1	70	0.197812756096872
"16"	"denovo219812"	2	51	0.144120722299149
"17"	"denovo91758"	2	50	0.14129482578348
"18"	"denovo582750"	2	46	0.129991239720801
"19"	"denovo648885"	3	41	0.115861757142453
"20"	"denovo99903"	1	40	0.113035860626784
"21"	"denovo22134"	1	32	0.0904286885014271
"22"	"denovo710804"	1	30	0.0847768954700879
"23"	"denovo552354"	3	25	0.0706474128917399
"24"	"denovo696196"	3	25	0.0706474128917399
"25"	"denovo70467"	1	24	0.0678215163760703
"26"	"denovo335682"	3	21	0.0593438268290615
"27"	"denovo223817"	1	20	0.0565179303133919
"28"	"denovo467948"	3	20	0.0565179303133919
"29"	"denovo178344"	3	18	0.0508661372820527
"30"	"denovo333061"	2	18	0.0508661372820527
"31"	"denovo642526"	1	17	0.0480402407663831
"32"	"denovo530988"	3	15	0.0423884477350439
"33"	"denovo674480"	4	15	0.0423884477350439
"34"	"denovo204039"	1	13	0.0367366547037047
"35"	"denovo42173"	2	13	0.0367366547037047
"36"	"denovo159656"	2	11	0.0310848616723656
"37"	"denovo661587"	4	11	0.0310848616723656
"38"	"denovo90459"	1	11	0.0310848616723656
"39"	"denovo135730"	1	10	0.028258965156696
"40"	"denovo336220"	2	10	0.028258965156696
"41"	"denovo430179"	2	10	0.028258965156696
"42"	"denovo46320"	3	10	0.028258965156696
"43"	"denovo667426"	1	10	0.028258965156696
"44"	"denovo671359"	3	10	0.028258965156696
"45"	"denovo160624"	3	9	0.0254330686410264
"46"	"denovo374062"	2	9	0.0254330686410264
"47"	"denovo502636"	1	9	0.0254330686410264
"48"	"denovo574278"	1	9	0.0254330686410264
"49"	"denovo267459"	1	8	0.0226071721253568
"50"	"denovo437805"	2	8	0.0226071721253568
"51"	"denovo589831"	2	8	0.0226071721253568
"52"	"denovo155488"	2	7	0.0197812756096872
"53"	"denovo182654"	3	7	0.0197812756096872
"54"	"denovo232326"	1	7	0.0197812756096872
"55"	"denovo612288"	3	7	0.0197812756096872
"56"	"denovo26889"	1	6	0.0169553790940176
"57"	"denovo431383"	1	6	0.0169553790940176
"58"	"denovo450127"	2	6	0.0169553790940176
"59"	"denovo84623"	1	6	0.0169553790940176
"60"	"denovo21345"	1	5	0.014129482578348
"61"	"denovo273523"	2	5	0.014129482578348
"62"	"denovo280714"	2	5	0.014129482578348
"63"	"denovo507112"	1	5	0.014129482578348
"64"	"denovo572704"	3	5	0.014129482578348
"65"	"denovo85227"	1	5	0.014129482578348
"66"	"denovo114869"	1	4	0.0113035860626784
"67"	"denovo205719"	3	4	0.0113035860626784
"68"	"denovo207861"	2	4	0.0113035860626784
"69"	"denovo210427"	2	4	0.0113035860626784
"70"	"denovo214397"	1	4	0.0113035860626784
"71"	"denovo299005"	1	4	0.0113035860626784
"72"	"denovo369074"	2	4	0.0113035860626784
"73"	"denovo505228"	4	4	0.0113035860626784
"74"	"denovo579795"	2	4	0.0113035860626784
"75"	"denovo597833"	1	4	0.0113035860626784
"76"	"denovo615461"	2	4	0.0113035860626784
"77"	"denovo6257"	1	4	0.0113035860626784
"78"	"denovo664776"	1	4	0.0113035860626784
"79"	"denovo692724"	1	4	0.0113035860626784
"80"	"denovo176651"	1	3	0.00847768954700879
"81"	"denovo270393"	1	3	0.00847768954700879
"82"	"denovo299343"	1	3	0.00847768954700879
"83"	"denovo308624"	1	3	0.00847768954700879
"84"	"denovo341894"	2	3	0.00847768954700879
"85"	"denovo344524"	1	3	0.00847768954700879
"86"	"denovo404814"	2	3	0.00847768954700879
"87"	"denovo434803"	1	3	0.00847768954700879
"88"	"denovo444"	1	3	0.00847768954700879
"89"	"denovo522027"	1	3	0.00847768954700879
"90"	"denovo542229"	3	3	0.00847768954700879
"91"	"denovo588547"	1	3	0.00847768954700879
"92"	"denovo598101"	1	3	0.00847768954700879
"93"	"denovo601725"	1	3	0.00847768954700879
"94"	"denovo624137"	1	3	0.00847768954700879
"95"	"denovo625623"	1	3	0.00847768954700879
"96"	"denovo69658"	1	3	0.00847768954700879
"97"	"denovo100257"	1	2	0.00565179303133919
"98"	"denovo115935"	2	2	0.00565179303133919
"99"	"denovo130793"	1	2	0.00565179303133919
"100"	"denovo151588"	1	2	0.00565179303133919
"101"	"denovo164832"	1	2	0.00565179303133919
"102"	"denovo194774"	2	2	0.00565179303133919
"103"	"denovo230138"	1	2	0.00565179303133919
"104"	"denovo234741"	1	2	0.00565179303133919
"105"	"denovo252463"	1	2	0.00565179303133919
"106"	"denovo266131"	1	2	0.00565179303133919
"107"	"denovo272315"	1	2	0.00565179303133919
"108"	"denovo283869"	2	2	0.00565179303133919
